code;russian_name
AUD;Австралийский доллар
AZN;Азейрбаджанский манат
ALL;Албанский лек
DZD;Алжирский динар
AOA;Ангольская кванза
ARS;Аргентинское песо
AMD;Армянский драм
AWG;Арубанский флорин
AFN;Афгани
BSD;Багамский доллар
PAB;Бальбоа (Панама)
BDT;Бангладешская така
BBD;Барбадосский доллар
BHD;Бахрейнский динар
BZD;Белизский доллар
BYR;Белорусский рубль
BMD;Бермудский доллар
BGN;Болгарский лев
BOB;Боливийский боливиано
BAM;Боснийская марка
BWP;Ботсванская пула
BRL;Бразильский реал
BND;Брунейский доллар
BIF;Бургундский франк
BTN;Бутанский нгултрум
VUV;Вату (Вануату)
HUF;Венгерский форинт
XCD;Восточно-Карибский доллар
VND;Вьетнамский донг
GYD;Гайанский доллар
GHS;Ганский седи
GNF;Гвинейский франк
GIP;Гибралтарский фунт
HKD;Гонконгский доллар
PYG;Гуарани (Парагвай)
HTG;Гурт (Гаити)
GMD;Даласи (Гамбия)
DKK;Датская крона
MKD;Денар (Северная Македония)
AED;Дихрам ОАЭ
STD;Добра (Сан-Томе и Принсипи)
ZMW;Доллар Зимбабве
NAD;Доллар Намибии
USD;Доллар США
SBD;Доллар Соломоновых островов
TTD;Доллар Тринидада и Тобаго
FJD;Доллар Фиджи
KYD;Доллар островов Кайман
DOP;Доминиканское песо
EUR;Евро
EGP;Египетский фунт
NIO;Золотая кордоба (Никарагуа)
JPY;Иена (Япония)
INR;Индийская рупия
IDR;Индонезийская рупия
JOD;Иорданский динар
IQD;Иракский динар
IRR;Иранский реал
ISK;Исландская крона
YER;Йеменский риал
CVE;Кабо-Верде эскудо
CAD;Канадский доллар
QAR;Катарский риал
MWK;Квача (Малави)
KES;Кенийский шиллинг
GTQ;Кетсаль (Гватемала)
PGK;Кина (Папуа - Новая Гвинея)
LAK;Кип (Лаос)
CNY;Китайская Юань
COP;Колумбийское песо
CDF;Конголезский франк
CRC;Коста-Риканский колон
CUP;Кубанское песо
KWD;Кувейтский динар
MMK;Кьят (Мьянма)
GEL;Лари (Грузия)
HNL;Лемпира (Гондурас)
SLL;Леоне (Сьерра-Леоне)
LRD;Либерийский доллар
LBP;Ливанский фунт
LYD;Ливийский динар
SZL;Лилангени (Эскатини)
LSL;Лоти (Лесото)
MUR;Маврикийская рупия
MGA;Малагасийский ариари
MYR;Малазийский ринггит
MAD;Марокканский дирхам
MXN;Мексиканское песо
MZN;Мозамбикский метикал
MDL;Молдавский лей
NGN;Найра (Нигерия)
ERN;Накфа (Эритрея)
NPR;Непальская рупия
ANG;Нидерландский антильский гульден
NZD;Новозеландский доллар
ILS;Новый Израильский шекель
TWD;Новый Тайваньский доллар
TMT;Новый Туркменский манат
PEN;Новый соль (Перу)
NOK;Норвежская крона
OMR;Оманский риал
TOP;Паанга (Тонга)
PKR;Пакистанская рупия
MOP;Патака (Макао)
PLN;Польский злотый
KHR;Риель (Камбоджа)
RUB;Российский рубль
RON;Румынский лев
MVR;Руфия (Мальдивы)
ZAR;Рэнд (ЮАР)
SAR;Саудовский риал
KPW;Северокорейская вона
SCR;Сейшельская рупия
RSD;Сербский динар
SGD;Сингапурский доллар
SYP;Сирийский фунт
KGS;Сом (Киргизия)
SOS;Сомалийский шиллинг
VEF;Суверенный боливар
SDG;Суданский фунт
SRD;Суринамский доллар
TJS;Таджикистанский сомони
THB;Таиландский бат
WST;Тала (Самоа)
TZS;Танзанийский шиллинг
KZT;Тенге (Казахстан)
MNT;Тугрик (Монголия)
TND;Тунисский доллар
TRY;Турецкая лира
UGX;Угандийский шиллинг
MRO;Угия (Мавритания)
UZS;Узбекский сум
UAH;Украинская гривна
UYU;Уругвайское песо
PHP;Филиппинское песо
DJF;Франк Джибути
XAF;Франк КФА ВЕАС
XPF;Франк КФП
KMF;Франк Комор
RWF;Франк Руанды
XOF;Франк СФА ВСЕАО
SHP;Фунт Святой Елены
FKP;Фунт Фолклендских островов
GBP;Фунт стерлингов
HRK;Хорватская куна
CZK;Чешская крона
CLP;Чилийское песо
SEK;Шведская крона
CHF;Швейцарский франк
LKR;Шри-Ланкийская рупия
ETB;Эфиопский быр
KRW;Южнокорейская вона
SSP;Южносуданский фунт
JMD;Ямайский доллар
